218477046866969;2;14.28;11.7;9.0;
218477066822661;2;14.7;11.759999;9.0;
218477086802431;2;15.0;11.34;9.599999;
218477106797738;2;15.0;11.5199995;9.48;
218477126783046;2;14.759999;11.28;9.54;
218477146871892;2;14.759999;11.04;9.54;
218477166794123;2;14.58;10.92;9.9;
218477186787277;2;14.4;10.74;10.32;
218477206826969;2;14.099999;10.679999;9.9;
218477226812508;2;13.74;10.44;9.78;
218477246864277;2;13.32;10.92;9.0;
218477266804893;2;13.32;10.92;9.179999;
218477286785123;2;13.62;11.34;9.42;
218477306813508;2;13.679999;11.94;9.54;
218477326799047;2;13.98;11.58;9.3;
218477346827893;2;13.92;11.5199995;8.94;
218477366802970;2;13.86;10.8;8.76;
218477386902124;2;13.92;10.5;8.46;
218477406994124;2;13.799999;10.92;9.059999;
218477426813431;2;13.92;10.38;9.179999;
218477446865432;2;14.04;10.8;8.88;
218477466778047;2;14.28;10.8;9.24;
218477486807585;2;14.46;10.38;8.94;
218477506791662;2;14.16;10.8;8.34;
218477526793124;2;13.74;11.04;8.76;
218477546838432;2;13.799999;10.98;8.88;
218477566968509;2;13.98;11.34;9.12;
218477586850432;2;14.219999;11.58;9.48;
218477606845817;2;14.58;11.5199995;9.12;
218477626830124;2;14.46;11.5199995;8.82;
218477646913432;2;14.219999;11.04;8.46;
218477666841740;2;14.5199995;10.8;8.5199995;
218477686847355;2;14.34;10.8;8.88;
218477706859278;2;14.4;10.98;9.12;
218477727034355;2;14.34;11.16;9.12;
218477746883048;2;14.219999;11.28;9.42;
218477766876586;2;14.4;11.4;9.24;
218477786867971;2;14.46;11.7;9.0;
218477806882663;2;14.82;11.219999;9.3;
218477826854048;2;14.7;10.98;8.58;
218477846878356;2;14.82;11.219999;8.58;
218477866879048;2;14.46;11.4;8.5199995;
218477886869740;2;14.099999;12.179999;8.5199995;
218477906884510;2;13.98;12.42;9.059999;
218477926885125;2;13.679999;12.3;9.0;
218477947054663;2;13.98;11.7;9.24;
218477966946125;2;14.04;11.4;9.12;
218477986879279;2;14.28;11.28;9.059999;
218478006847587;2;14.28;11.4;8.94;
218478026826356;2;14.5199995;11.639999;8.5199995;
218478046940202;2;14.219999;11.58;8.7;
218478066938741;2;13.86;11.88;9.0;
218478086881741;2;13.679999;11.94;8.76;
218478106854356;2;12.9;11.46;9.179999;
218478126986741;2;13.38;11.639999;9.3;
218478146901125;2;13.679999;11.28;8.28;
