217075844940211,2,41.28,-9.96,-28.619999
217075864986441,2,41.28,-10.139999,-28.439999
217075885016288,2,41.28,-10.139999,-27.9
217075904963365,2,41.7,-10.139999,-27.84
217075924954749,2,41.76,-10.62,-27.539999
217075944942134,2,41.879997,-10.5,-27.599998
217075964945211,2,41.76,-10.44,-27.96
217075985039596,2,41.28,-10.44,-27.9
217076004996826,2,41.64,-10.38,-27.9
217076024932826,2,41.82,-10.2,-27.599998
217076045087057,2,41.879997,-10.139999,-27.48
217076064957827,2,41.82,-10.32,-27.48
217076084964519,2,41.399998,-10.559999,-27.779999
217076104955980,2,41.399998,-10.32,-28.019999
217076124940596,2,41.46,-10.139999,-27.96
217076145053827,2,41.64,-10.26,-27.779999
217076164951288,2,41.28,-9.84,-28.019999
217076184978981,2,41.04,-10.08,-27.779999
217076204961750,2,40.92,-10.62,-27.779999
217076224980904,2,40.739998,-10.62,-27.96
217076244940904,2,40.92,-10.44,-27.84
217076265103289,2,41.219997,-10.44,-28.019999
217076285085135,2,41.04,-10.38,-28.14
217076304942058,2,40.98,-10.26,-28.019999
217076324947904,2,40.739998,-10.86,-27.599998
217076345098366,2,40.62,-11.16,-27.599998
217076365094443,2,40.98,-10.86,-27.779999
217076385027289,2,41.04,-10.26,-28.14
217076404999597,2,41.46,-9.9,-28.619999
217076425199289,2,41.579998,-9.78,-28.619999
217076445039289,2,41.52,-9.84,-28.26
217076465125751,2,41.34,-10.139999,-27.599998
217076485037751,2,40.98,-10.2,-27.42
217076505003981,2,40.8,-10.0199995,-27.539999
217076525034443,2,41.1,-9.66,-28.019999
217076545134135,2,41.28,-9.36,-28.56
217076565018982,2,41.219997,-9.54,-28.859999
217076585192597,2,41.219997,-9.599999,-28.68
217076605071366,2,41.219997,-10.139999,-28.14
217076625031982,2,41.34,-10.2,-27.9
217076645014366,2,41.64,-9.84,-27.72
217076665016828,2,41.82,-9.719999,-27.599998
217076685035905,2,41.219997,-9.24,-27.779999
