317551491080152,1,1.8363527,1.6663644,1.6663644,9.078813
317551511069152,1,1.8028339,1.6567876,1.6567876,9.437943
317551531088767,1,1.4820108,1.5777789,1.5777789,9.433155
317551551077690,1,0.6584055,1.6304513,1.6304513,9.28232
317551571066690,1,1.5370775,1.6783354,1.6783354,9.363723
317551591086075,1,1.2952632,1.5801731,1.5801731,9.361329
317551611075229,1,0.91458505,1.532289,1.532289,9.325416
317551631094690,1,0.7086837,1.6472107,1.6472107,9.289502
317551651083844,1,1.0654198,1.6903064,1.6903064,9.473856
317551671072767,1,1.1803415,1.6304513,1.6304513,9.579201
317551691092229,1,0.45489833,1.7262194,1.7262194,9.119514
317551711081383,1,1.0271125,1.6136919,1.6136919,9.387665
317551731070383,1,1.3335704,1.5059528,1.5059528,9.560047
317551751089998,1,1.2162545,1.5035586,1.5035586,9.28232
317551770895537,1,1.0055647,1.4580688,1.4580688,9.330204
317551791067922,1,1.30484,1.3790601,1.3790601,9.524135
317551811087537,1,1.4269443,1.4628572,1.4628572,9.330204
317551831076460,1,1.2042835,1.4532804,1.4532804,9.291897
317551851065460,1,1.2354081,1.4101849,1.4101849,9.459491
317551871085076,1,1.4532804,1.4939818,1.4939818,9.385271
317551891073999,1,1.42455,1.4269443,1.4269443,9.346964
317551911093460,1,1.2808979,1.3814543,1.3814543,9.421184
317551931082614,1,1.508347,1.2737153,1.2737153,9.595961
317551951071614,1,1.1061212,1.6112977,1.6112977,9.291897
317551971090999,1,1.3311762,1.5155296,1.5155296,9.351752
317551991080153,1,0.9696517,1.3958195,1.3958195,9.730036
317552011069076,1,1.4580688,1.5227122,1.5227122,9.399636
317552031088768,1,0.7613561,1.42455,1.42455,9.114726
317552051077691,1,1.1180922,1.3239936,1.3239936,9.337387
317552071066691,1,0.9672575,1.4030021,1.4030021,9.507375
317552091086076,1,0.94092125,1.6543933,1.6543933,9.406818
317552111075230,1,0.9768343,1.5370775,1.5370775,9.667787
317552131064230,1,0.94331545,1.388637,1.388637,9.370906
317552151083845,1,1.3623008,1.4796166,1.4796166,9.234436
317552171072769,1,1.1061212,1.5825673,1.5825673,9.3733
317552191092230,1,1.1492168,1.5682021,1.5682021,9.370906
317552211081384,1,1.3120226,1.4772224,1.4772224,9.485827
317552231070384,1,1.5945383,1.4173675,1.4173675,9.339781
317552251090000,1,1.6160861,1.4053963,1.4053963,9.275137
317552271078923,1,1.4652514,1.3120226,1.3120226,9.32781
317552291067923,1,1.8698715,1.3790601,1.3790601,9.524135
317552311087538,1,1.4987702,1.6304513,1.6304513,9.569624
317552331076461,1,1.2641385,1.7118542,1.7118542,9.0716305
317552351065461,1,1.910573,1.7741034,1.7741034,8.968679
317552371085077,1,1.9895816,1.7764976,1.7764976,9.358934
317552391074000,1,1.3670892,1.70946,1.70946,8.880095
317552411093461,1,1.7262194,1.2186487,1.2186487,9.562442
317552431082615,1,1.7190368,1.1013328,1.1013328,9.775525
317552451071538,1,1.1540052,1.4030021,1.4030021,9.143456
317552471091000,1,1.3814543,1.4891934,1.4891934,9.081207
317552491080154,1,1.4101849,1.6400281,1.6400281,9.706094
317552511069154,1,1.2641385,1.697489,1.697489,9.437943
317552531088769,1,1.1061212,1.697489,1.697489,9.016563
317552551077693,1,2.3654714,1.8602947,1.8602947,10.036493
317552571066693,1,0.5386954,1.7932571,1.7932571,9.303867
317552591086308,1,1.661576,2.006341,2.006341,9.224859
317552611075231,1,1.2330139,1.70946,1.70946,9.500193
317552631064231,1,1.163582,1.733402,1.733402,9.627085
317552651083847,1,1.4508862,1.7310078,1.7310078,9.11712
317552671072847,1,0.78769237,1.5634137,1.5634137,9.361329
317552691092231,1,0.80684596,1.5514427,1.5514427,9.469068
317552711081385,1,1.1492168,1.5729905,1.5729905,9.28232
317552731070308,1,1.271321,1.5682021,1.5682021,9.579201
317552751089770,1,0.878672,1.6017209,1.6017209,9.617508
317552771078924,1,1.3694834,1.6017209,1.6017209,9.090784
317552791067924,1,1.2641385,1.4413095,1.4413095,9.428367
317552811087539,1,1.1779473,1.5490485,1.5490485,9.31105
317552831076462,1,1.6160861,1.6352397,1.6352397,9.313444
317552851065463,1,1.6687586,1.4820108,1.4820108,9.497798
317552871085078,1,1.4389153,1.3455414,1.3455414,9.421184
317552891074001,1,1.7525556,1.3215994,1.3215994,9.234436
317552911093463,1,1.6950948,1.1180922,1.1180922,9.313444
317552931082617,1,1.5562311,1.1755531,1.1755531,9.56723
