ax,ay,az,gx,gy,gz,temp,volt,vel

-0.782426,2.269415,9.571157,14.518234,-0.000077,-0.014376,-0.023716,2.580000,0.000000

-0.693810,1.965247,9.298124,14.527058,-0.002209,-0.047418,-0.013324,2.488000,0.000000

-0.119005,2.005963,9.429851,14.532940,-0.001676,-0.043687,0.011989,2.444000,0.000000

0.122892,2.197564,9.396320,14.535881,0.002587,-0.022370,0.040767,2.412000,0.000000

-0.233966,2.116133,9.379556,14.527058,-0.000877,-0.020505,0.036238,2.380000,0.000000

-0.257916,2.178404,9.451406,14.562351,-0.000344,-0.017307,0.011989,2.344000,0.000000

-0.253126,2.245465,9.465776,14.568233,0.000722,-0.017307,0.003729,2.308000,0.000000

-0.159721,2.245465,9.355605,14.544704,-0.006473,-0.015708,0.007726,2.276000,0.000000

-0.078290,2.125714,9.456196,14.553528,-0.006739,-0.006116,0.013055,2.240000,0.000000

-0.140560,2.029913,9.403505,14.577057,-0.005407,0.006941,0.018385,2.212000,0.000000

-0.260311,1.962852,9.326865,14.571175,-0.007805,0.003210,0.013055,2.180000,0.000000

-0.049550,2.104158,9.441826,14.577057,-0.001943,0.011471,0.005328,2.140000,0.000000

-0.099845,2.183194,9.496911,14.582939,-0.006739,0.019731,0.002130,2.112000,0.000000

-0.384852,2.070628,9.355605,14.571175,-0.010203,0.020264,-0.012259,2.080000,0.000000

-0.578849,1.977222,9.350815,14.597647,-0.007005,0.014668,-0.021052,2.044000,0.000000

-0.593219,1.943692,9.437036,14.600588,-0.008338,0.009872,-0.009860,2.020000,0.000000

-0.506998,2.123319,9.463381,14.588821,-0.003009,0.009073,0.009858,1.988000,0.000000

-0.605194,2.135294,9.477751,14.597647,-0.001143,0.006408,0.028244,1.960000,0.000000

-0.602799,2.130504,9.439431,14.597647,-0.003541,-0.004784,0.026645,1.928000,0.000000

-0.444728,1.967642,9.441826,14.609411,-0.006473,-0.007715,0.014921,1.900000,0.000000

-0.262706,2.116133,9.355605,14.618235,-0.003009,-0.001320,0.010391,1.868000,0.000000

-0.348927,2.178404,9.350815,14.612352,-0.003275,0.006408,0.015720,1.836000,0.000000

-0.516578,2.168824,9.516071,14.609411,-0.005940,0.002944,0.013322,1.808000,0.000000

-0.588429,2.144874,9.379556,14.641764,-0.002742,-0.003451,-0.000268,1.780000,0.000000

-0.281867,2.154454,9.393926,14.632940,-0.003808,-0.007981,-0.002399,1.756000,0.000000

-0.071105,2.159244,9.492122,14.624117,-0.009137,0.004010,0.008792,1.728000,0.000000

-0.298632,2.221514,9.403505,14.627058,-0.007805,0.012537,0.009591,1.700000,0.000000

-0.521369,2.008358,9.398716,14.618235,-0.004341,0.000812,-0.005597,1.676000,0.000000

-0.356112,1.955667,9.358000,14.615294,-0.007272,0.000013,-0.014657,1.648000,0.000000

-0.423173,2.108948,9.429851,14.615294,-0.004074,0.007474,-0.004798,1.624000,0.000000

-0.365692,2.123319,9.437036,14.638823,-0.005140,0.000279,0.006660,1.596000,0.000000

-0.423173,2.008358,9.480146,14.627058,-0.006739,0.001079,0.004262,1.568000,0.000000

-0.363297,2.034703,9.427456,14.635881,-0.004341,0.000279,-0.005064,1.544000,0.000000

-0.286657,2.089788,9.362790,14.632940,-0.004874,0.000279,-0.003465,1.516000,0.000000

-0.451913,2.132899,9.413086,14.635881,-0.004341,0.004809,0.003996,1.484000,0.000000

-0.478258,2.147269,9.460986,14.629999,-0.005940,0.003210,0.002930,1.464000,0.000000

-0.463888,2.101763,9.427456,14.644705,-0.001676,0.002144,-0.006929,1.440000,0.000000

-0.272286,2.120924,9.381950,14.644705,-0.003541,0.000812,-0.004265,1.416000,0.000000

-0.265101,2.061048,9.439431,14.647646,-0.008071,-0.001852,0.002930,1.396000,0.000000

-0.324977,2.056258,9.372371,14.644705,-0.006473,0.013336,-0.002399,1.356000,0.000000

-0.341742,2.173614,9.432246,14.647646,0.000455,0.010671,-0.004798,1.332000,0.000000

-0.190856,2.195169,9.417875,14.674116,-0.009404,0.011737,0.001065,1.304000,0.000000

-0.253126,2.166429,9.367580,14.671175,-0.007805,0.019731,0.000265,1.284000,0.000000

-0.454308,1.998778,9.444221,14.671175,-0.011002,0.020530,-0.007462,1.264000,0.000000

-0.609984,2.027518,9.458591,14.653528,-0.007805,0.017066,-0.015723,1.248000,0.000000

-0.547714,2.044283,9.489726,14.647646,-0.004607,0.011204,-0.015456,1.228000,0.000000

-0.650700,2.106554,9.377160,14.677057,-0.005140,0.009872,0.002130,1.216000,0.000000

-0.595614,2.089788,9.384345,14.662352,-0.001410,0.006408,0.031441,1.192000,0.000000

-0.528554,2.075418,9.343630,14.674116,-0.004074,-0.002652,0.026112,1.172000,0.000000

-0.389642,2.123319,9.391530,14.671175,-0.005940,0.000013,0.001065,1.156000,0.000000

-0.490233,2.123319,9.441826,14.679998,0.000988,0.003743,-0.009860,1.144000,0.000000

-0.547714,2.008358,9.508886,14.685881,-0.001943,-0.009580,-0.001334,1.128000,0.000000

-0.406408,2.027518,9.499307,14.697645,0.001255,-0.008514,0.008792,1.120000,0.000000

-0.693810,2.022728,9.422666,14.679998,0.002054,-0.006116,0.018651,1.108000,0.000000

-0.495023,2.108948,9.302915,14.682940,0.003120,-0.023702,0.016786,1.096000,0.000000

-0.262706,2.101763,9.391530,14.688822,0.002587,-0.017307,0.022115,1.088000,0.000000

-0.214806,2.164034,9.393926,14.697645,-0.001410,-0.015442,0.021582,1.080000,0.000000

-0.535739,2.118529,9.446616,14.694704,-0.004607,-0.008514,-0.002399,1.072000,0.000000

-0.399222,2.183194,9.403505,14.715292,-0.007272,-0.015442,-0.021585,1.064000,0.000000

-0.200436,2.290970,9.372371,14.718235,-0.006206,-0.011445,0.009858,1.056000,0.000000

-0.231571,2.355635,9.441826,14.697645,-0.005407,-0.002652,0.040235,1.048000,0.000000

-0.253126,2.010753,9.494516,14.721176,-0.000344,-0.000254,0.018918,1.040000,0.000000

-0.339347,1.879027,9.415481,14.727058,-0.007538,-0.001586,-0.008262,1.036000,0.000000

-0.298632,2.039493,9.396320,14.703527,-0.002742,0.000546,-0.009061,1.028000,0.000000

-0.574059,2.144874,9.369975,14.703527,-0.001943,0.002677,0.000532,1.024000,0.000000

-0.909362,2.166429,9.420271,14.715292,-0.005140,-0.007981,-0.005064,1.016000,0.000000

-0.847091,2.005963,9.468171,14.712351,-0.000877,-0.020238,-0.013591,1.012000,0.000000

-0.645909,1.864656,9.439431,14.706469,0.000722,-0.030364,-0.010127,1.012000,0.000000

-0.351322,1.847891,9.415481,14.724117,0.001255,-0.035427,0.009058,1.004000,0.000000

-0.229176,1.888607,9.449011,14.712351,0.004985,-0.031163,0.025579,1.000000,0.000000

-0.217201,2.010753,9.463381,14.715292,0.006051,-0.025035,0.026645,0.996000,0.000000

-0.511788,2.231094,9.441826,14.735882,0.007916,-0.034361,0.006127,0.992000,0.000000

-0.425568,2.329290,9.511281,14.730000,0.000189,-0.036226,0.007726,0.984000,0.000000

-0.344137,2.223909,9.365185,14.735882,0.005518,-0.030630,0.004262,0.984000,0.000000

-0.739315,2.039493,9.427456,14.732941,0.003920,-0.034627,0.007193,0.980000,0.000000

-0.284262,2.073023,9.386741,14.735882,0.002587,-0.048217,0.016786,0.976000,0.000000

-0.001649,2.140084,9.434641,14.750587,0.003653,-0.039424,0.018385,0.972000,0.000000

-0.111820,2.164034,9.365185,14.747646,0.002054,-0.025834,0.008792,0.972000,0.000000

-0.336952,2.082603,9.391530,14.732941,-0.001410,-0.027966,-0.006663,0.964000,0.000000

-0.231571,2.084998,9.472961,14.765293,0.000189,-0.029298,-0.013058,0.964000,0.000000

-0.356112,2.154454,9.460986,14.768234,0.005785,-0.022370,-0.001867,0.960000,0.000000

-0.356112,2.140084,9.410690,14.744705,0.002054,-0.030097,0.017852,0.960000,0.000000

-0.320187,2.094578,9.439431,14.753529,0.003920,-0.029831,0.023447,0.956000,0.000000

-0.145350,2.113739,9.420271,14.750587,0.003653,-0.029298,0.012789,0.956000,0.000000

-0.236361,2.094578,9.449011,14.744705,0.004719,-0.023169,0.011723,0.952000,0.000000

-0.298632,2.156849,9.369975,14.756470,0.001788,-0.033561,0.013588,0.952000,0.000000

-0.178881,2.209539,9.422666,14.750587,0.000455,-0.030364,0.009858,0.948000,0.000000

-0.080685,2.267020,9.434641,14.774117,0.002321,-0.021038,0.003996,0.944000,0.000000

-0.119005,2.176009,9.362790,14.762352,-0.000877,-0.023969,0.010391,0.948000,0.000000

0.036671,2.135294,9.405901,14.768234,0.000189,-0.015176,0.005594,0.944000,0.000000

-0.150140,2.259835,9.381950,14.777058,-0.002742,-0.009313,-0.001334,0.940000,0.000000

-0.135770,2.192774,9.396320,14.756470,-0.011002,-0.010113,-0.013324,0.940000,0.000000

-0.142955,2.061048,9.429851,14.777058,-0.006206,-0.006915,-0.032510,0.936000,0.000000

-0.164511,2.013148,9.338840,14.768234,-0.001943,-0.007182,-0.034375,0.936000,0.000000

-0.406408,2.049073,9.434641,14.762352,-0.001410,-0.007981,-0.027181,0.936000,0.000000

-0.327372,2.089788,9.441826,14.788822,-0.003541,-0.019173,0.005061,0.932000,0.000000

-0.198041,2.073023,9.403505,14.779999,-0.000344,-0.015975,0.009591,0.932000,0.000000

-0.279472,2.087393,9.401111,14.779999,0.002054,-0.022104,0.008259,0.928000,0.000000

-0.262706,2.142479,9.451406,14.794704,0.004186,-0.019439,0.003996,0.928000,0.000000

-0.418383,2.128109,9.475356,14.771175,0.000722,-0.022104,-0.000801,0.928000,0.000000

-0.516578,2.111343,9.381950,14.779999,0.000455,-0.029032,-0.004798,0.924000,0.000000

-0.174091,2.144874,9.417875,14.782940,0.005785,-0.038624,-0.005331,0.924000,0.000000

-0.202831,2.142479,9.396320,14.803528,0.000988,-0.031163,0.007193,0.924000,0.000000

-0.382457,2.094578,9.417875,14.794704,0.001521,-0.034627,0.002663,0.924000,0.000000

-0.207621,2.140084,9.496911,14.797646,0.004186,-0.039690,-0.002399,0.924000,0.000000

-0.109425,2.228699,9.432246,14.812351,0.005518,-0.040756,0.008525,0.924000,0.000000

0.012721,2.235884,9.381950,14.803528,0.003120,-0.040490,0.026911,0.920000,0.000000

0.043856,2.183194,9.377160,14.791763,0.003120,-0.030897,0.023980,0.920000,0.000000

-0.128585,2.111343,9.350815,14.809410,0.002854,-0.035427,0.009058,0.916000,0.000000

0.055831,2.056258,9.463381,14.806469,0.003120,-0.036493,-0.006130,0.916000,0.000000

0.019906,2.106554,9.451406,14.821175,0.003387,-0.024768,-0.013591,0.916000,0.000000

-0.375272,2.089788,9.408296,14.827057,0.002321,-0.032496,-0.050896,0.916000,0.000000

-0.423173,2.190379,9.374765,14.821175,0.003653,-0.041022,-0.052494,0.916000,0.000000

-0.377667,2.197564,9.453801,14.806469,0.005785,-0.049816,-0.020519,0.916000,0.000000

-0.339347,2.044283,9.417875,14.809410,0.005252,-0.054612,0.003729,0.916000,0.000000

0.031881,1.967642,9.358000,14.800587,0.012446,-0.063938,0.008525,0.912000,0.000000

