ax,ay,az,gx,gy,gz,temp,volt,vel

0.194742,1.174891,9.005932,16.435881,0.057478,0.083682,-0.524399,1.068000,0.000000

0.024696,3.124437,10.141171,16.450586,-0.093073,0.099403,-0.701864,1.056000,0.000000

-0.643515,2.393956,9.607082,16.453527,-0.133842,0.141238,-0.742099,1.168000,0.000000

-1.685348,2.219119,8.359277,16.456469,-0.081615,0.117789,-0.749560,1.172000,0.000000

-1.318910,2.013148,9.298124,16.459410,-0.017397,0.053838,-0.844154,1.668000,0.000000

-0.667465,2.305340,9.611873,16.480000,0.037760,0.025593,-0.811646,2.336000,0.000000

-0.269891,2.499337,8.850256,16.485882,0.015377,0.076221,-0.937683,3.244000,0.000000

-0.111820,2.499337,9.317285,16.477058,0.030299,0.053572,-1.045334,3.844000,0.000000

-1.750014,2.647828,8.577224,16.494705,0.026302,0.034653,-1.145790,4.056000,0.000000

0.616266,2.166429,10.169911,16.497646,-0.007538,0.011737,-1.179897,4.220000,0.000000

-0.226781,2.068233,8.895761,16.474117,-0.074687,0.043713,-1.064785,4.240000,0.000000

-1.103358,2.001173,9.015512,16.506470,-0.085612,0.009073,-0.924626,4.404000,0.000000

-0.372877,1.148546,11.326706,16.491764,-0.059232,0.091942,-0.851615,4.652000,0.000000

-2.212252,2.494547,7.595265,16.491764,-0.067226,0.047976,-0.880660,5.056000,0.000000

-1.690138,2.587952,10.100456,16.509411,-0.084013,0.043979,-0.859876,5.584000,0.000000

-1.122518,4.046519,9.142448,16.518234,-0.000877,0.029057,-0.941147,6.548000,0.000000

-1.441056,2.611902,8.589199,16.521175,-0.092007,0.002944,-0.943545,6.852000,0.000000

-0.959657,0.863538,10.862072,16.529999,-0.008871,0.039716,-1.000834,7.084000,0.000000

-1.886530,0.360584,8.332932,16.515293,0.114768,0.030922,-1.115946,7.096000,0.000000

-1.026718,2.183194,9.832214,16.527058,0.125693,-0.019173,-0.970724,7.160000,0.000000

-1.256639,2.257440,8.936477,16.538822,0.092119,0.123918,-0.637380,7.232000,0.000000

-3.658844,3.071746,9.017907,16.529999,0.247999,-0.158799,-0.335744,7.260000,0.000000

-0.638724,2.278995,10.383068,16.535881,0.149408,-0.077261,-0.091931,7.252000,0.000000

-1.829049,-0.954281,13.304993,16.532940,-0.017930,-0.140679,0.079138,7.232000,0.000000

-3.754645,-2.281122,11.796130,16.532940,0.144345,-0.099111,0.242480,7.212000,0.000000

-2.279313,0.149823,10.289662,16.553528,0.106241,-0.223283,0.624587,7.084000,1434.783990

