ax,ay,az,gx,gy,gz,temp,volt,vel

-0.902177,2.245465,9.396320,14.694704,-0.015266,0.037051,-0.021585,0.868000,0.000000

-1.026718,1.953272,9.417875,14.718235,-0.014733,0.020264,-0.021585,0.872000,0.000000

-0.986002,1.912557,9.453801,14.727058,-0.012601,0.013602,-0.029046,0.872000,0.000000

-0.950077,1.989197,9.470566,14.700586,-0.005673,0.004543,-0.031177,0.872000,0.000000

-0.942892,1.996382,9.427456,14.741764,-0.004074,-0.001586,-0.030378,0.872000,0.000000

-1.029113,2.065838,9.360395,14.738823,-0.004341,-0.010646,-0.030112,0.872000,0.000000

-0.861461,2.202354,9.413086,14.724117,-0.003009,-0.019439,-0.024782,0.872000,0.000000

-0.818351,2.243070,9.432246,14.732941,-0.000610,-0.018906,-0.017321,0.876000,0.000000

-0.770451,2.166429,9.358000,14.741764,-0.002476,-0.026101,-0.012525,0.876000,0.000000

-0.607589,2.231094,9.369975,14.747646,-0.000610,-0.028232,-0.018920,0.872000,0.000000

-0.535739,2.240674,9.391530,14.765293,-0.000610,-0.025568,-0.023184,0.876000,0.000000

-0.547714,2.238280,9.367580,14.762352,-0.003009,-0.018373,-0.027980,0.876000,0.000000

-0.827931,2.204749,9.353210,14.774117,-0.001676,-0.018373,-0.023983,0.876000,0.000000

-1.074618,2.142479,9.374765,14.762352,-0.000877,-0.027433,-0.022651,0.876000,0.000000

-1.467401,2.068233,9.439431,14.779999,0.000455,-0.037825,-0.024516,0.876000,0.000000

-1.544042,2.037098,9.482541,14.777058,0.005785,-0.060741,-0.032510,0.876000,0.000000

-1.579967,2.037098,9.420271,14.779999,0.008183,-0.075130,-0.037306,0.876000,0.000000

-1.929640,2.027518,9.343630,14.782940,0.014045,-0.105506,-0.031710,0.876000,0.000000

-1.809889,2.082603,9.264594,14.785881,0.025769,-0.133218,-0.018121,0.872000,0.000000

-1.584757,2.348450,8.771220,14.794704,0.003920,-0.136682,0.014654,0.876000,0.000000

-2.775082,2.245465,9.853769,14.803528,0.054547,-0.225148,0.114844,0.876000,0.000000

-0.837511,2.487362,9.338840,14.815292,0.070535,-0.259522,0.135362,0.876000,0.000000

-1.397946,2.101763,9.056228,14.815292,0.021240,-0.228346,0.047163,0.876000,0.000000

-0.844696,1.886212,9.037067,14.812351,0.039093,-0.257656,-0.040504,0.876000,0.000000

-0.399222,2.472991,9.202324,14.815292,0.050817,-0.260321,-0.119377,0.876000,0.000000

-1.103358,2.343660,9.274175,14.806469,0.061475,-0.299491,-0.106853,0.876000,0.000000

-1.110543,2.132899,9.259805,14.812351,0.045754,-0.345856,-0.019453,0.876000,0.000000

-0.875831,3.038216,9.336445,14.832939,0.062008,-0.310949,0.067147,0.876000,0.000000

-0.645909,2.609508,9.173584,14.824116,0.068670,-0.326670,0.155613,0.876000,0.000000

0.240248,2.700518,9.022697,14.824116,0.053482,-0.342924,0.262464,0.880000,0.000000

0.522860,2.810689,9.116103,14.838821,0.073733,-0.316811,0.328280,0.876000,0.000000

0.661771,3.198682,8.965217,14.824116,0.019641,-0.316545,0.381573,0.880000,0.000000

0.987494,3.610626,9.686118,14.856470,0.086256,-0.317344,0.374645,0.876000,0.000000

1.394647,2.781949,8.867022,14.835880,0.109439,-0.304820,0.378908,0.876000,0.000000

1.763480,2.338870,8.778405,14.847647,0.018575,-0.278707,0.375178,0.876000,0.000000

1.315612,3.445369,9.877720,14.841763,0.065739,-0.210493,0.384504,0.892000,0.000000

1.729950,2.516102,8.737690,14.862352,0.049485,-0.200900,0.404489,0.892000,0.000000

1.768270,3.795042,9.032277,14.856470,0.011380,-0.189975,0.417012,1.036000,0.000000

2.376605,2.290970,8.713739,14.838821,0.054014,-0.132153,0.413282,1.236000,0.000000

2.292779,2.916070,9.118498,14.850588,-0.030987,-0.124958,0.425539,1.220000,0.000000

2.450851,3.790252,9.353210,14.841763,0.044155,-0.057810,0.486026,1.240000,0.000000

2.055673,2.961576,9.049043,14.856470,0.093451,-0.037825,0.526529,1.228000,0.000000

2.048487,1.907767,8.768826,14.865294,0.031632,-0.021304,0.535855,1.256000,0.000000

1.605409,2.559212,9.415481,14.856470,-0.044577,0.052772,0.552109,1.264000,0.000000

1.564694,3.057376,9.398716,14.856470,-0.029122,0.052772,0.524130,1.248000,0.000000

1.787430,2.705308,8.586803,14.841763,0.048685,0.011471,0.482562,1.248000,0.000000

1.092875,2.384376,9.017907,14.868235,0.042024,0.002144,0.373846,1.284000,0.000000

0.125287,2.161639,10.083691,14.874117,0.024437,0.034386,0.318688,1.296000,0.000000

2.192189,2.772369,8.974797,14.874117,-0.005140,0.028791,0.215567,1.280000,0.000000

1.246156,2.511312,8.816726,14.868235,-0.036849,0.139906,0.191319,1.268000,0.000000

1.318007,3.409444,9.621452,14.874117,0.014578,0.152163,0.173732,1.288000,0.000000

-0.794401,2.523287,9.245434,14.879999,-0.007805,0.097805,0.194783,1.300000,0.000000

0.637821,1.514984,8.524533,14.888823,0.035895,0.051440,0.172133,1.312000,0.000000

0.338444,1.883817,9.848979,14.874117,0.036694,0.001878,0.076473,1.420000,0.000000

1.993402,2.599927,9.180769,14.885881,-0.063495,0.003477,0.068213,1.396000,0.000000

2.010167,2.597533,9.080178,14.885881,-0.011269,0.073024,0.131631,1.376000,0.000000

1.533558,1.601204,9.154424,14.879999,-0.005940,0.087945,0.155613,1.360000,0.000000

1.274896,1.229976,9.008327,14.885881,0.001521,0.099403,0.154813,1.336000,0.000000

0.824632,1.881422,9.458591,14.879999,0.015644,0.117789,0.160942,1.320000,0.000000

0.031881,1.237161,10.021420,14.897646,-0.000077,0.084215,0.134829,1.300000,0.000000

0.515675,1.435948,9.530441,14.891764,0.047619,0.027991,0.071944,1.284000,0.000000

0.922828,2.396351,9.219090,14.894705,0.056679,0.012004,0.026378,1.264000,0.000000

0.922828,2.044283,9.355605,14.909410,0.027635,-0.025035,-0.033842,1.256000,0.000000

