ax,ay,az,gx,gy,gz,temp,volt,vel

0.058226,1.970037,9.350815,15.456469,0.019641,-0.008514,0.146287,0.880000,0.000000

0.446219,1.582044,9.472961,15.438822,0.111304,0.072224,0.329346,1.116000,0.000000

0.889298,1.531749,9.137658,15.459410,0.172324,0.099137,0.433267,1.372000,0.000000

0.532440,1.613179,9.290939,15.459410,0.160866,0.162821,0.577156,1.336000,0.000000

0.161212,1.241951,9.585527,15.474117,0.099047,0.189468,0.561968,1.380000,0.000000

-2.123636,1.452713,9.537626,15.477058,-0.010736,0.208919,0.482562,1.344000,0.000000

-0.842301,-0.020224,9.738809,15.488823,0.015377,0.071691,0.306963,1.320000,0.000000

-2.514025,-0.597424,9.916039,15.506470,-0.052571,0.073024,0.206241,1.288000,0.000000

-1.469796,0.451595,8.833491,15.503529,-0.041646,-0.052480,0.071411,1.256000,0.000000

-0.918942,0.738997,8.874207,15.521175,-0.021394,-0.080459,0.195582,1.224000,0.000000

-1.465006,0.640802,8.960427,15.521175,-0.025391,-0.223283,0.150017,1.200000,0.000000

-1.958380,0.782108,9.223879,15.521175,0.005785,-0.223549,-0.128703,1.172000,0.000000

-0.849486,0.188143,7.856322,15.535881,-0.018197,-0.309084,-0.370917,1.168000,0.000000

-0.533344,0.645592,8.079060,15.532940,-0.028056,-0.334131,-0.479634,1.268000,0.000000

-0.073500,1.033585,9.159214,15.544704,-0.106396,-0.378630,-0.473505,1.236000,0.000000

0.561180,0.750972,8.934082,15.535881,-0.083747,-0.328269,-0.462847,1.236000,0.000000

-1.249454,1.414393,9.839399,15.550587,-0.085878,-0.306952,-0.372782,1.416000,0.000000

0.216298,1.380862,9.666958,15.553528,-0.043777,-0.340526,-0.202779,1.384000,0.000000

0.494120,-0.020224,9.336445,15.544704,-0.141835,-0.315745,-0.035974,1.348000,0.000000

1.519188,-0.199850,10.213022,15.553528,0.002854,-0.289365,0.056755,1.320000,0.000000

1.133590,0.480335,10.464499,15.571175,0.008716,-0.269114,0.097524,1.296000,0.000000

1.236576,-0.147160,9.008327,15.568233,-0.027523,-0.232875,0.099389,1.272000,0.000000

1.933527,0.937784,9.779524,15.553528,0.072933,-0.234208,0.140957,1.248000,0.000000

2.843634,2.154454,9.096943,15.568233,0.047353,-0.128422,0.221962,1.228000,0.000000

2.026932,2.310130,9.369975,15.577057,0.004186,-0.061540,0.249674,1.272000,0.000000

1.528768,2.765184,9.305309,15.571175,0.040691,-0.030364,0.306164,1.296000,0.000000

0.642611,2.199959,8.625124,15.571175,0.014045,-0.012244,0.325349,2.244000,0.000000

0.391134,2.619088,9.017907,15.565292,0.044422,0.016533,0.290176,4.220000,0.000000

-0.099845,2.453831,10.392649,15.579998,0.051616,-0.031963,0.239016,4.436000,0.000000

0.645006,2.365216,8.680209,15.577057,0.012180,0.035452,0.148951,4.756000,0.000000

0.175582,0.858748,8.941267,15.594706,-0.073355,-0.055944,0.107117,4.672000,0.000000

0.910853,-1.454840,10.227392,15.585880,-0.028322,-0.015708,0.138559,4.456000,0.000000

2.196979,-0.686039,10.665681,15.591763,0.114501,-0.031430,0.142290,4.392000,0.000000

0.937198,-2.048805,9.496911,15.577057,-0.126647,-0.096447,0.148418,4.220000,0.000000

1.763480,-1.004577,10.052556,15.588821,0.078263,-0.053280,0.116709,3.976000,0.000000

1.710790,-0.626164,10.179492,15.582939,-0.019796,-0.009846,0.329613,3.820000,0.000000

1.655704,1.110225,9.817844,15.594706,0.119298,0.029324,0.361322,3.640000,0.000000

0.015116,2.614298,8.826305,15.603529,0.030832,0.048775,0.264063,3.484000,0.000000

0.295333,1.902977,9.551997,15.603529,0.018841,-0.003718,0.198780,3.340000,0.000000

-0.341742,1.950877,10.234577,15.612352,0.097714,-0.022903,0.179861,3.668000,0.000000

0.053436,3.332803,8.689790,15.609411,0.212027,-0.025035,0.243812,4.712000,0.000000

0.673746,0.559371,7.511440,15.627058,0.088655,-0.051414,0.440461,4.548000,0.000000

1.078505,-0.010644,10.555510,15.621176,0.013246,-0.073531,0.664290,4.364000,0.000000

4.050724,-0.010644,9.853769,15.621176,0.088122,-0.007715,0.886519,4.192000,0.000000

2.486776,1.007240,10.114826,15.632940,0.049751,-0.034627,0.896645,4.024000,0.000000

1.677259,0.681517,9.760364,15.650587,0.069469,0.073024,0.621123,3.860000,0.000000

1.282081,2.053863,8.622729,15.612352,0.009782,-0.023436,0.162807,3.696000,0.000000

2.024537,2.619088,9.008327,15.638823,0.029233,0.097272,-0.115380,4.180000,0.000000

0.086966,0.636012,11.403347,15.647646,0.151273,0.177743,-0.054093,5.000000,0.000000

-1.213529,2.360425,9.096943,15.627058,0.100379,0.119921,0.075141,5.304000,0.000000

0.024696,2.120924,9.252620,15.656469,0.104109,0.123918,0.015986,5.692000,0.000000

2.436481,2.492151,9.168794,15.659410,0.047619,0.010405,0.121506,6.392000,0.000000

1.013839,3.347173,9.022697,15.665293,0.229347,0.183872,0.300302,6.456000,0.000000

1.696420,2.966366,9.295730,15.659410,0.240805,0.131112,0.482029,6.488000,0.000000

-0.310607,2.686148,8.890971,15.629999,-0.014466,0.096472,0.444991,6.276000,0.000000

0.633031,0.997660,13.501384,15.647646,0.008982,0.004276,0.441261,6.128000,0.000000

1.909576,1.148546,7.897038,15.653528,-0.005673,0.126849,0.309628,6.220000,0.000000

-0.341742,2.202354,10.234577,15.665293,-0.042179,0.074089,0.139891,6.416000,0.000000

1.559904,1.617970,9.669353,15.638823,0.077730,0.095939,0.107916,6.732000,0.000000

0.910853,1.835916,8.196416,15.659410,0.062008,0.135909,0.120973,7.088000,0.000000

1.131195,3.804622,10.407019,15.659410,0.176587,0.172148,0.115643,7.144000,0.000000

0.652191,-0.310021,8.756850,15.677057,0.097714,0.204922,0.079404,7.192000,0.000000

-1.017138,0.988079,8.910131,15.671175,0.042557,0.168417,0.172133,7.216000,0.000000

0.154027,1.335357,9.156818,15.682940,0.189111,0.163088,0.204375,7.172000,0.000000

1.904786,2.219119,9.631032,15.679998,0.102777,0.116723,0.293640,7.156000,0.000000

1.210231,0.367769,9.429851,15.662352,0.165929,0.174013,0.419677,7.140000,0.000000

1.044974,2.604717,10.088481,15.679998,0.138217,0.289125,0.515870,7.184000,0.000000

0.934803,4.161480,8.718530,15.688822,0.087322,0.267541,0.399426,7.188000,0.000000

-0.598009,4.005804,12.181728,15.679998,0.197371,0.352276,0.120973,7.216000,0.000000

1.696420,1.347332,6.764194,15.685881,0.020973,0.144435,0.062084,7.196000,2271.897810

-2.217042,3.368729,10.131592,15.691763,0.029500,0.316570,-0.035441,7.208000,2271.897810

2.105968,0.839588,7.942543,15.691763,-0.084013,0.091942,0.067680,7.204000,2271.897810

-0.499813,3.871683,9.178373,15.697645,-0.046975,0.357339,-0.371716,7.256000,2271.897810

-0.368087,1.637130,6.129513,15.697645,0.000722,0.244092,-0.587818,7.276000,2271.897810

1.777850,2.480176,8.684999,15.694704,-0.380319,0.060500,-0.634981,7.252000,2271.897810

-3.419342,1.960457,13.664246,15.697645,0.166462,0.449801,-0.703462,7.240000,2271.897810

-0.962052,4.432117,12.105087,15.697645,0.172324,0.263278,-0.943811,7.252000,2271.897810

1.332377,1.783226,11.034513,15.685881,0.055080,0.213982,-1.217202,7.268000,2271.897810

-0.918942,0.932994,8.308981,15.709410,-0.073355,0.107930,-1.354963,7.244000,2271.897810

2.481986,-0.935121,7.394083,15.700586,0.026036,0.036252,-1.211073,7.260000,2271.897810

0.060621,1.673055,9.674143,15.706469,-0.076819,0.159890,-0.919030,7.264000,2271.897810

-2.370324,0.216883,10.612990,15.715292,-0.157290,0.079685,-0.746363,7.268000,2271.897810

-0.566874,-0.515993,8.890971,15.694704,-0.101600,0.041847,-0.730908,7.260000,2271.897810

-0.348927,2.346056,8.996352,15.703527,0.089188,-0.006116,-0.657364,7.272000,2271.897810

-0.887806,1.428763,4.630231,15.715292,-0.037116,-0.016508,-0.494556,7.256000,2271.897810

-1.031508,3.993829,9.925620,15.688822,0.204299,0.022929,-0.524133,7.292000,2271.897810

-0.178881,1.883817,9.753179,15.694704,0.048419,0.081550,-0.365588,7.300000,2271.897810

-2.499655,4.434513,8.620334,15.712351,0.169393,0.039183,-0.289113,7.324000,2271.897810

-2.640961,-2.077546,10.514794,15.700586,-0.012335,-0.054612,-0.321089,7.336000,2271.897810

-0.576454,2.889725,11.930251,15.721176,0.097981,-0.013310,-0.313628,7.336000,2271.897810

-1.824259,1.069510,8.392807,15.715292,0.233877,-0.052747,-0.261934,7.364000,2271.897810

-0.662675,4.657249,8.881392,15.700586,0.117433,0.062898,-0.285649,7.352000,2271.897810

0.498910,3.675291,11.405742,15.703527,0.440918,0.042114,-0.308831,7.352000,2271.897810

1.636544,1.756881,13.178057,15.715292,0.257592,0.058102,-0.320289,7.372000,2271.897810

-5.917347,3.189102,4.723637,15.721176,0.109705,0.165752,-0.221965,7.376000,2271.897810

4.886586,3.835757,10.229787,15.718235,0.323674,-0.255258,-0.492690,7.360000,2271.897810

-1.711693,-3.861835,9.590317,15.724117,-0.145033,-0.061007,0.125769,7.344000,2271.897810

-4.880304,-0.717175,9.283754,15.724117,-0.223373,-0.442848,0.617126,7.348000,2271.897810

-0.894992,-2.182926,7.051596,15.709410,-0.197260,-0.532646,0.540118,7.348000,2271.897810

0.997074,2.449041,11.942226,15.712351,0.131555,0.079685,0.824966,7.348000,2271.897810

-0.902177,2.863380,9.542417,15.709410,0.036161,-0.132153,0.955000,7.372000,10.923402

-3.105594,6.506205,10.763877,15.730000,0.265852,-0.080725,0.535855,7.376000,10.923402

-0.023204,3.241793,10.512400,15.709410,0.288768,0.188402,0.610997,7.380000,10.923402

-0.894992,8.522811,5.497228,15.738823,0.568021,0.141238,0.214235,7.400000,10.923402

2.335890,5.040452,7.413244,15.724117,0.106241,0.090610,0.015720,7.412000,10.923402

-1.584757,3.275323,15.551520,15.718235,-0.234031,0.202258,-0.129236,7.404000,10.923402

-0.554899,7.370807,7.729386,15.721176,0.145678,0.385584,-0.390635,7.404000,10.923402

2.618502,-6.029328,11.283596,15.735882,0.316746,0.233167,-0.195318,7.396000,10.923402

-0.660280,-2.719411,12.038027,15.735882,-0.405633,-0.065004,-0.564635,7.400000,10.923402

-2.885253,5.993670,7.686276,15.732941,-0.126647,0.237431,-0.519070,7.404000,10.923402

-2.669701,9.416153,4.991879,15.738823,0.097714,0.256350,-0.498819,7.392000,10.923402

-2.384694,1.414393,11.391372,15.727058,0.041491,-0.020505,-0.806317,7.412000,10.923402

-2.138007,-2.329023,10.799802,15.735882,-0.431214,-0.263785,-0.686142,7.412000,10.923402

-3.855236,8.656932,12.509846,15.735882,-0.034185,0.180408,-0.359992,7.408000,10.923402

