ax,ay,az,gx,gy,gz,temp,volt,vel

-4.089948,-1.608122,5.942702,17.394705,0.436175,0.004814,1.637841,7.732000,2776.057437

-3.438502,2.312525,11.496753,17.382940,0.419148,-0.801869,2.022026,7.732000,2776.057437

3.183727,-4.853373,9.123288,17.379999,-0.917519,-1.774570,2.211458,7.716000,2776.612565

-1.855394,2.017938,7.317443,17.377058,1.065132,0.005878,-0.548077,7.732000,2772.731539

-1.153654,5.229659,4.884103,35.771175,-0.152341,-0.266563,-0.274571,7.728000,2775.502520

0.352814,-4.647401,12.943344,17.362352,-2.394664,-0.087774,-0.697069,7.720000,2777.167906

-0.133375,-2.534994,12.761323,17.365294,-1.147392,1.594766,-1.091896,7.724000,2777.167906

1.265316,4.537498,9.075388,17.350588,1.393978,0.440082,-2.180599,7.720000,2773.839254

-0.868646,-1.337485,8.246711,36.527058,0.121165,0.006942,-0.001066,7.712000,2764.451438

0.611476,-2.202087,9.745994,17.368235,-0.999465,0.156998,0.045760,7.712000,2777.167906

-1.357230,-7.325033,11.441668,17.359411,-2.659656,-1.872479,-0.260737,7.708000,2776.612565

-1.589547,-0.422587,4.117697,17.341763,-0.431168,-1.141356,-2.561591,7.720000,2777.167906

-0.890202,-0.408217,0.817360,36.527058,0.121165,0.006942,-0.001066,7.704000,2777.167906

2.132313,-1.555431,11.379396,17.321175,-7.245402,0.662505,-1.936891,7.716000,2776.057437

-0.890202,-0.408217,0.817360,36.527058,0.121165,0.006942,-0.001066,7.716000,2777.167906

-5.706586,12.323707,1.073627,17.329998,3.927898,1.540491,-3.555578,7.728000,1971.300403

-2.152377,0.784503,26.803322,17.341763,-4.550784,1.330839,-3.647101,7.724000,2756.767782

-1.635053,-7.902233,4.603886,17.324116,-1.103759,2.277999,-3.779065,7.720000,2770.518653

-5.629945,4.954232,-0.737008,17.318233,-0.919648,1.066911,-4.252645,7.720000,2567.647801

-0.023204,-7.047211,10.766272,17.327057,-1.212309,0.286834,-3.931249,7.720000,2775.502520

2.625687,3.732772,10.435759,17.329998,-1.267649,-1.604294,-5.492467,7.712000,2774.948028

-2.183512,13.993035,-1.237567,17.332939,0.080724,1.164819,-2.990474,7.724000,2775.502520

3.358563,4.369847,12.900234,17.312351,2.207046,1.633078,-0.531050,7.720000,2774.393535

1.636544,-0.527968,10.133986,35.771175,-0.152341,-0.266563,-0.274571,7.720000,2777.167906

2.800524,8.120448,9.693303,17.306469,0.279734,-1.588331,0.386312,7.716000,2777.167906

-2.703231,1.057535,12.107483,17.300587,-2.460646,-0.299554,0.057467,7.720000,2776.612565

-0.119005,0.276759,8.514953,17.297646,-2.633050,-0.805061,-0.581068,7.708000,2775.502520

0.769547,-7.001706,5.961862,17.306469,-2.604316,-0.266563,-0.274571,7.708000,2777.167906

-0.871041,1.057535,8.249105,17.253529,0.227587,-2.352445,-1.665514,7.712000,2777.167906

0.027091,3.747142,10.806987,17.268234,-0.307718,-0.726309,-0.547013,7.712000,2776.057437

-1.510512,1.124595,6.254055,17.262352,0.293569,-1.675598,0.544882,7.708000,2774.393535

-1.122518,0.178563,14.516872,17.259411,1.412070,0.241072,3.758842,7.716000,2235.325014

-7.723192,-1.596147,8.103010,17.262352,1.155591,-1.000879,4.349487,7.716000,2777.167906

