ax,ay,az,gx,gy,gz,temp,volt,vel

0.410294,0.382139,9.647798,15.818233,0.003653,0.048242,-0.035974,3.576000,0.000000

0.587526,0.822823,9.643007,15.815292,-0.002476,0.037051,-0.014657,3.400000,0.000000

0.647401,0.712652,9.657377,15.841763,-0.009137,0.043446,0.013588,3.296000,0.000000

0.633031,0.406090,9.671748,15.847647,-0.012068,0.045844,0.019184,3.220000,0.000000

0.161212,0.446805,9.951965,15.847647,-0.034451,0.041581,-0.009061,3.168000,0.000000

0.213903,0.106712,9.769943,15.853529,-0.000610,0.043446,-0.052228,3.120000,0.000000

0.393529,0.662357,9.868139,15.859411,-0.018197,0.028791,-0.094329,3.064000,0.000000

0.118102,0.626431,9.789104,15.835880,-0.017664,0.046111,-0.072479,2.992000,0.000000

0.007931,0.937784,9.686118,15.871176,-0.014733,0.035186,-0.033309,2.944000,0.000000

-0.341742,0.523446,9.959150,15.877058,-0.026457,0.005609,0.009591,2.900000,0.000000

-0.365692,-0.056149,9.834609,15.862352,0.019907,-0.043154,-0.096461,2.852000,0.000000

-1.005162,0.104317,9.748388,15.885881,-0.014200,-0.030897,-0.216369,2.796000,0.000000

-0.145350,0.873118,9.302915,15.882940,-0.017664,-0.084722,-0.275257,2.744000,0.000000

-1.077013,0.679122,9.796288,15.879999,0.031632,-0.114033,-0.288847,2.700000,0.000000

0.098942,2.544842,8.778405,15.882940,0.006318,-0.119629,-0.160945,2.656000,0.000000

-0.978817,0.372559,9.511281,15.900587,-0.034984,-0.108970,-0.026115,2.612000,0.000000

-0.756080,1.670660,9.899275,15.882940,0.032165,-0.182514,-0.054093,2.564000,0.000000

-0.351322,1.582044,9.592712,15.906469,0.062808,-0.213690,0.042366,2.520000,0.000000

0.700091,1.000055,9.307705,15.909410,0.054547,-0.237139,0.050360,2.468000,0.000000

1.140775,1.443133,9.334050,15.912352,-0.011802,-0.238738,0.099656,2.428000,0.000000

0.609081,1.354517,9.678933,15.915293,0.028434,-0.175320,0.170801,2.384000,0.000000

1.715580,0.612061,9.681328,15.927057,0.049218,-0.216355,0.215300,2.336000,0.000000

2.175424,0.645592,8.627519,15.924116,-0.066960,-0.220618,0.182259,2.296000,0.000000

2.091598,1.150941,9.640613,15.938822,-0.125048,-0.164395,0.102587,2.256000,0.000000

1.231786,1.364097,10.057346,15.959410,-0.045909,-0.127623,0.022115,2.212000,0.000000

1.492843,0.782108,10.311218,15.947645,0.004452,-0.123359,-0.060755,2.172000,0.000000

0.707277,0.298314,10.040581,15.941763,0.095849,-0.132686,-0.116445,2.140000,0.000000

1.605409,-0.513598,9.535232,15.962351,0.059877,-0.180649,-0.168406,2.100000,0.000000

1.677259,-1.962585,9.180769,15.977058,-0.021927,-0.144943,-0.191321,2.060000,0.000000

2.019747,-1.526691,9.626243,15.962351,-0.100001,-0.131620,-0.219566,2.032000,0.000000

2.235299,-0.288466,10.263317,15.962351,-0.068025,-0.076195,-0.236886,1.984000,0.000000

2.750228,-0.693224,10.143566,15.991764,-0.048307,-0.034094,-0.207576,1.944000,0.000000

2.086808,-0.125605,10.004656,15.971176,0.010848,-0.009313,-0.103122,1.904000,0.000000

2.122733,-0.506413,9.805869,15.971176,-0.007538,-0.009846,-0.017854,1.868000,0.000000

1.437757,-0.413007,9.664562,15.977058,0.003653,-0.014110,0.080737,1.828000,0.000000

0.898878,0.391720,9.817844,15.982941,0.036428,0.016267,0.082336,1.796000,0.000000

0.225878,0.806058,9.446616,15.980000,-0.000077,-0.021571,-0.011459,1.760000,0.000000

0.434244,1.270692,9.604687,15.980000,0.016710,-0.039424,-0.060755,1.728000,0.000000

0.058226,1.565279,9.013118,15.982941,-0.082947,-0.017307,-0.053827,1.696000,0.000000

1.509608,0.142637,9.951965,15.968235,-0.029122,-0.130287,-0.037839,1.668000,0.000000

2.256854,-0.386662,9.654983,15.997646,0.060942,-0.092450,0.003996,1.636000,0.000000

1.792220,0.568951,9.688513,15.988823,0.020707,-0.059675,0.073542,1.600000,0.000000

1.952687,-0.310021,9.214299,16.003529,0.006318,-0.085522,0.131631,1.564000,0.000000

2.355050,-0.302836,9.537626,15.997646,0.003920,-0.047151,0.166005,1.536000,0.000000

2.115548,0.535421,9.540022,15.985882,0.033230,-0.009580,0.164939,1.508000,0.000000

2.122733,1.701795,9.226274,16.009411,0.040958,0.012270,0.161741,1.480000,0.000000

