ax,ay,az,gx,gy,gz,temp,volt,vel

0.345629,1.115016,9.659773,14.247646,-0.008071,0.012004,-0.014657,0.908000,0.000000

0.201927,0.944969,9.616662,14.250587,-0.005940,0.014668,-0.040504,0.904000,0.000000

0.211507,1.021610,9.628637,14.256470,-0.004874,0.015734,-0.045566,0.904000,0.000000

0.106127,1.143756,9.635822,14.244705,-0.003541,0.018132,-0.043168,0.900000,0.000000

0.154027,1.237161,9.635822,14.277058,-0.004074,0.012270,-0.032776,0.900000,0.000000

0.283358,1.201236,9.566367,14.277058,-0.006739,0.013602,-0.019720,0.900000,0.000000

0.242643,1.040770,9.619058,14.282940,-0.007538,0.015734,-0.009061,0.900000,0.000000

0.221088,0.978499,9.635822,14.297646,-0.004874,0.016001,-0.016788,0.900000,0.000000

0.228273,1.024005,9.626243,14.288822,-0.003808,0.016001,-0.031177,0.896000,0.000000

0.343234,1.153336,9.626243,14.288822,-0.001143,0.017599,-0.031710,0.900000,0.000000

0.439034,1.194051,9.614267,14.303528,-0.003275,0.025593,-0.014390,0.900000,0.000000

0.213903,1.119806,9.621452,14.297646,-0.000877,0.031722,-0.004531,0.896000,0.000000

0.163607,1.098250,9.523256,14.309410,-0.003541,0.027725,-0.016522,0.900000,0.000000

0.242643,1.186866,9.616662,14.332939,-0.002476,0.031189,-0.019453,0.896000,0.000000

0.245038,1.263507,9.662168,14.315292,-0.002209,0.032788,-0.013591,0.896000,0.000000

0.118102,1.155731,9.609477,14.344706,-0.002209,0.033854,-0.018920,0.900000,0.000000

0.161212,1.191656,9.523256,14.324116,-0.008871,0.028524,-0.028513,0.896000,0.000000

0.182767,1.095855,9.616662,14.329998,-0.004074,0.035719,-0.030645,0.896000,0.000000

-0.018414,1.069510,9.671748,14.335880,-0.001943,0.039449,-0.036773,0.896000,0.000000

-0.128585,1.014425,9.652588,14.335880,-0.008871,0.030922,-0.055159,0.892000,0.000000

0.067806,0.935389,9.489726,14.344706,-0.005940,0.035452,-0.065285,0.892000,0.000000

