ax,ay,az,gx,gy,gz,temp,volt,vel

-1.893715,1.263507,9.429851,19.571175,0.018308,-0.013843,-0.460715,2.656000,0.000000

-1.582362,1.804781,9.559182,19.600588,0.056146,-0.075130,-0.721848,2.556000,0.000000

-1.002767,3.809412,9.757969,19.612352,0.030033,-0.100177,-0.596611,2.520000,0.000000

-1.838629,2.324500,8.596384,19.618235,0.063341,0.002677,-0.395965,2.484000,0.000000

-0.926127,1.826336,9.961545,19.627058,-0.012601,-0.086055,-0.303236,2.456000,0.000000

-0.720155,2.647828,9.719648,19.638823,0.034296,-0.053280,-0.240883,2.420000,0.000000

-0.964447,1.057535,9.266990,19.632940,0.041491,-0.018906,-0.289380,2.384000,0.000000

-2.466124,0.827613,9.480146,19.624117,0.018841,-0.001852,-0.377312,2.352000,0.000000

-2.087711,2.484967,9.096943,19.638823,0.033497,0.016800,-0.436467,2.316000,0.000000

-1.936825,2.666988,9.480146,19.629999,-0.010203,0.041847,-0.397297,2.280000,0.000000

-2.526000,2.034703,9.374765,19.647646,0.024437,-0.004784,-0.311762,2.252000,0.000000

-2.549950,2.049073,9.403505,19.671175,0.016976,-0.029565,-0.202246,2.208000,0.000000

-2.954708,1.608389,9.484936,19.668234,0.019108,-0.038091,-0.122308,2.176000,0.000000

-2.444569,1.823941,9.489726,19.656469,0.033763,-0.067669,-0.060222,2.144000,0.000000

-2.130822,1.905372,9.401111,19.679998,0.037227,-0.059142,0.023181,2.112000,0.000000

-1.903295,2.173614,9.477751,19.653528,0.034030,-0.069001,0.096725,2.084000,0.000000

-1.680558,2.346056,9.401111,19.682940,0.028434,-0.064471,0.134296,2.056000,0.000000

-1.630263,2.405931,9.326865,19.706469,0.018042,-0.055944,0.139625,2.024000,0.000000

-1.340465,2.532867,9.180769,19.682940,0.009249,-0.047950,0.146553,1.992000,0.000000

-1.062643,2.281390,9.441826,19.700586,-0.004074,-0.033561,0.136694,1.964000,0.000000

-1.041088,2.135294,9.568762,19.703527,-0.005140,-0.026900,0.078605,1.936000,0.000000

-0.724945,2.142479,9.439431,19.700586,-0.017930,0.000279,0.002130,1.900000,0.000000

-0.978817,2.108948,9.446616,19.694704,-0.017131,0.015734,-0.042635,1.876000,0.000000

-1.151259,1.943692,9.465776,19.706469,-0.033119,0.016800,-0.106586,1.844000,0.000000

-1.579967,1.792806,9.422666,19.715292,-0.021661,0.025593,-0.165741,1.812000,0.000000

-1.613497,1.737720,9.547207,19.712351,-0.022194,0.022396,-0.196917,1.788000,0.000000

-2.109267,1.483848,9.379556,19.727058,-0.022993,0.024527,-0.213971,1.760000,0.000000

-2.799032,1.055140,9.367580,19.712351,-0.014466,0.007207,-0.190788,1.732000,0.000000

-2.502050,0.873118,9.523256,19.709410,0.000189,-0.025568,-0.196384,1.708000,0.000000

-2.332003,0.858748,9.607082,19.730000,0.027368,-0.024235,-0.228093,1.684000,0.000000

-2.207462,0.358189,9.496911,19.715292,0.038293,-0.024235,-0.290712,1.656000,0.000000

-2.183512,1.364097,9.420271,19.732941,0.074799,-0.053546,-0.335478,1.624000,0.000000

-1.647028,2.609508,9.444221,19.732941,0.052416,-0.036226,-0.274724,1.600000,0.000000

-2.279313,2.686148,9.762758,19.732941,0.072134,-0.050882,-0.188390,1.576000,0.000000

-2.602640,3.605836,9.657377,19.750587,0.031365,0.014402,-0.099925,1.536000,0.000000

-1.903295,2.877750,9.451406,19.744705,0.037494,-0.048217,-0.030645,1.512000,0.000000

0.508490,0.197723,9.669353,19.777058,-0.043777,-0.151604,0.045031,1.484000,0.000000

-1.750014,1.644315,9.894485,19.762352,0.040425,0.098870,0.072210,1.464000,0.000000

-3.610944,2.968760,9.504096,19.782940,-0.026724,-0.021304,0.038103,1.428000,0.000000

-2.334398,1.467083,9.202324,19.768234,-0.000610,-0.016241,0.025313,1.396000,0.000000

-2.226622,1.196446,9.908854,19.777058,0.032431,-0.041822,0.010391,1.376000,0.000000

