ax,ay,az,gx,gy,gz,temp,volt,vel

1.581459,1.407208,9.451406,16.021175,-0.001410,-0.016774,0.042899,0.916000,0.000000

1.670074,1.409603,9.403505,16.038822,-0.004874,-0.023436,0.019450,0.920000,0.000000

1.753900,1.445528,9.425060,16.050587,-0.005407,-0.014376,0.013322,0.916000,0.000000

1.722765,1.467083,9.410690,16.050587,-0.003808,-0.012244,0.012789,0.916000,0.000000

1.650914,1.433553,9.401111,16.050587,-0.005407,-0.007981,0.013588,0.916000,0.000000

1.607804,1.356912,9.398716,16.065292,-0.008338,-0.009313,0.008525,0.912000,0.000000

1.617384,1.285062,9.489726,16.065292,-0.004074,-0.007182,-0.000001,0.912000,0.000000

1.636544,1.210816,9.405901,16.062351,-0.003541,-0.010912,0.001065,0.908000,0.000000

1.670074,1.189261,9.396320,16.088821,-0.003541,-0.011978,0.014121,0.912000,0.000000

1.579064,1.313802,9.475356,16.085880,0.000189,-0.007715,0.026112,0.908000,0.000000

1.667679,1.361702,9.463381,16.082939,0.002054,-0.001852,0.032241,0.912000,0.000000

1.476078,1.411998,9.401111,16.106470,0.000988,-0.006382,0.029310,0.908000,0.000000

1.636544,1.385653,9.408296,16.106470,-0.003275,-0.012511,0.023447,0.908000,0.000000

1.720370,1.400023,9.410690,16.100588,-0.006206,-0.008248,0.014921,0.904000,0.000000

1.737135,1.309012,9.410690,16.109411,-0.004607,0.001878,-0.009594,0.904000,0.000000

1.547928,1.409603,9.427456,16.106470,-0.003541,-0.000254,-0.024516,0.904000,0.000000

1.490448,1.416788,9.427456,16.118235,-0.006739,-0.004517,-0.026914,0.904000,0.000000

1.480868,1.347332,9.429851,16.138823,-0.004341,0.001612,-0.024782,0.908000,0.000000

1.466498,1.503009,9.468171,16.141764,-0.004874,-0.005050,-0.016256,0.904000,0.000000

1.387462,1.400023,9.420271,16.141764,-0.006473,-0.010113,-0.000534,0.900000,0.000000

1.574274,1.280272,9.425060,16.141764,-0.009937,-0.019705,0.014388,0.900000,0.000000

1.670074,1.251532,9.432246,16.159410,0.001255,-0.007981,0.014921,0.904000,0.000000

1.454523,1.421578,9.444221,16.159410,-0.005140,-0.010113,0.005594,0.900000,0.000000

1.545533,1.388048,9.408296,16.174116,-0.008338,-0.015176,-0.005864,0.900000,0.000000

1.641334,1.340147,9.453801,16.194704,-0.006206,-0.011978,-0.012525,0.900000,0.000000

