ax,ay,az,gx,gy,gz,temp,volt,vel

-0.638724,2.940020,9.089758,15.382940,0.003387,-0.042088,0.026378,3.000000,0.000000

-0.578849,2.875355,9.255014,15.377058,-0.001410,-0.014376,0.023181,2.932000,0.000000

-0.835116,2.798714,9.061018,15.400587,0.006051,-0.021571,0.014654,2.892000,0.000000

-0.839906,2.856194,9.118498,15.400587,0.000455,-0.029032,0.012789,2.856000,0.000000

-0.679440,2.887330,9.300520,15.406469,0.002587,-0.039157,0.002397,2.820000,0.000000

-0.166906,3.066956,9.190349,15.394705,0.000988,-0.029565,-0.008262,2.784000,0.000000

-0.473468,2.837034,9.190349,15.418234,-0.005140,-0.012511,0.005328,2.740000,0.000000

-0.588429,2.669383,9.096943,15.415293,-0.001143,-0.031163,0.010391,2.708000,0.000000

-0.557294,2.904095,9.243039,15.424116,0.003653,-0.014643,0.001065,2.668000,0.000000

-0.547714,3.107671,9.238249,15.427057,0.002321,-0.022637,-0.011193,2.636000,0.000000

-0.406408,3.009476,9.089758,15.429998,-0.011269,-0.015975,0.007993,2.600000,0.000000

-0.401617,2.772369,9.228669,15.456469,0.001255,-0.016508,0.000532,2.532000,0.000000

-0.904572,2.942415,9.099339,15.447645,-0.000877,-0.006915,0.014388,2.484000,0.000000

-0.547714,2.911280,9.173584,15.462351,-0.009137,-0.020505,0.023181,2.452000,0.000000

-0.607589,2.786739,9.171188,15.474117,-0.005407,-0.006382,0.015187,2.420000,0.000000

-0.650700,2.825059,9.144843,15.474117,-0.000344,-0.016508,-0.002399,2.384000,0.000000

-0.660280,2.698123,9.185558,15.485882,-0.005407,-0.018906,-0.014124,2.348000,0.000000

-0.660280,2.707703,9.305309,15.482941,-0.005940,-0.013843,-0.034641,2.320000,0.000000

-0.590824,2.827454,9.255014,15.503529,0.000455,-0.022104,-0.039171,2.280000,0.000000

-0.463888,2.760394,9.214299,15.485882,0.004452,-0.019439,-0.017588,2.252000,0.000000

-0.636329,2.779554,9.238249,15.491764,-0.003541,-0.012244,0.007993,2.220000,0.000000

-0.734525,2.841825,9.140054,15.497646,0.004719,-0.022637,0.017319,2.180000,0.000000

-0.502208,2.951995,9.266990,15.491764,0.003120,-0.017574,0.028244,2.148000,0.000000

-0.485443,2.837034,9.209509,15.503529,0.001521,-0.022903,0.043432,2.116000,0.000000

-0.475863,2.729259,9.243039,15.509411,0.003120,-0.015975,0.029576,2.080000,0.000000

-0.289052,2.793924,9.262199,15.512352,0.002854,-0.016241,0.004262,2.056000,0.000000

-0.178881,2.971155,9.142448,15.524117,0.002854,-0.001586,0.001331,2.024000,0.000000

-0.586034,3.009476,9.255014,15.518234,-0.003275,0.002411,0.009858,1.996000,0.000000

-0.677045,2.916070,9.235854,15.532940,0.000189,-0.008780,0.008525,1.968000,0.000000

-0.641119,2.849010,9.111313,15.524117,-0.000610,-0.004784,-0.002399,1.940000,0.000000

-0.650700,2.834639,9.166399,15.524117,-0.003808,-0.006649,-0.008795,1.908000,0.000000

-0.530949,2.930440,9.192744,15.532940,0.000988,-0.002652,-0.006396,1.876000,0.000000

-0.729735,2.827454,9.192744,15.547646,0.000988,-0.012511,0.003729,1.844000,0.000000

-0.471073,2.880145,9.118498,15.547646,-0.002476,-0.016774,0.015720,1.820000,0.000000

-0.609984,2.839429,9.156818,15.556469,-0.001676,-0.009846,0.017852,1.768000,0.000000

-0.375272,3.014266,9.111313,15.550587,-0.002476,-0.009047,0.015453,1.740000,0.000000

-0.576454,3.078931,9.278965,15.553528,-0.001410,0.005076,0.011989,1.712000,0.000000

-0.420778,2.961576,9.104128,15.571175,-0.005140,-0.011712,0.008525,1.688000,0.000000

-0.334557,2.760394,9.185558,15.559410,-0.013134,0.000546,-0.006663,1.664000,0.000000

-0.399222,2.784344,9.159214,15.568233,-0.011535,0.006941,-0.030112,1.636000,0.000000

-0.315397,3.023846,9.094548,15.588821,-0.002209,0.005875,-0.035707,1.616000,0.000000

-0.890202,2.937625,9.209509,15.571175,-0.002476,0.003477,-0.007462,1.584000,0.000000

-0.631539,2.844219,9.123288,15.582939,-0.007272,-0.006382,0.008259,1.556000,0.000000

-0.602799,2.813084,9.171188,15.577057,-0.010469,0.002144,0.009058,1.532000,0.000000

-0.509393,2.849010,9.123288,15.585880,-0.002742,-0.008514,0.005594,1.512000,0.000000

-0.480653,3.019056,9.245434,15.597647,-0.008871,0.008273,0.014121,1.484000,0.000000

-0.624354,2.913675,9.286150,15.574116,-0.003275,0.000546,0.020783,1.464000,0.000000

-0.401617,2.738839,9.226274,15.588821,-0.011002,0.003477,0.020250,1.428000,0.000000

-0.506998,2.746024,9.278965,15.600588,-0.006473,0.002944,-0.015190,1.396000,0.000000

-0.523764,2.753209,9.185558,15.600588,0.001255,0.002944,-0.041303,1.372000,0.000000

