318625736963370,2,-7.3799996,-15.299999,19.26
318625756892601,2,-7.44,-15.66,19.32
318625776854447,2,-7.62,-15.299999,19.439999
318625796903678,2,-8.22,-15.54,19.439999
318625816899447,2,-8.46,-15.9,19.32
318625836862217,2,-8.4,-15.9,19.14
318625856847063,2,-8.22,-16.199999,19.199999
318625876893601,2,-7.9199996,-16.32,19.26
318625896900371,2,-8.04,-16.32,19.02
318625916903140,2,-8.16,-16.199999,19.26
318625936861832,2,-8.22,-16.38,19.08
318625956899063,2,-8.34,-16.08,19.14
318625976869832,2,-8.04,-16.199999,19.08
318625996886140,2,-7.98,-16.199999,19.14
318626016892371,2,-7.9199996,-16.02,19.199999
318626036878525,2,-7.9199996,-16.08,18.9
318626056852679,2,-8.099999,-15.9,19.08
318626076999679,2,-8.16,-15.839999,18.84
318626096909525,2,-8.16,-16.38,18.6
318626116892679,2,-8.28,-16.859999,19.439999
318626136849294,2,-8.28,-16.8,19.5
318626156875987,2,-8.5199995,-17.1,19.74
318626176885217,2,-8.5199995,-16.92,19.98
318626196965744,2,-8.28,-16.619999,19.74
318626216893437,2,-8.099999,-16.68,19.8
318626236873437,2,-7.74,-16.74,19.68
318626256902668,2,-7.68,-16.38,19.74
318626276956514,2,-8.099999,-16.32,19.5
318626296914052,2,-7.8599997,-16.38,19.5
318626316984591,2,-8.04,-16.14,19.32
318626337113822,2,-7.74,-15.839999,19.14
318626357095283,2,-7.62,-16.08,19.199999
318626377143053,2,-8.22,-15.9,19.08
318626396978053,2,-8.22,-15.599999,19.08
318626416966745,2,-8.76,-15.839999,19.32
318626437074360,2,-8.82,-15.48,19.439999
318626456953437,2,-8.46,-15.42,19.14
318626477010745,2,-8.5199995,-15.42,18.66
318626496959053,2,-8.22,-15.299999,18.6
318626516933438,2,-8.28,-15.599999,18.24
318626537068514,2,-8.58,-15.78,18.3
318626557051361,2,-8.76,-15.78,18.779999
318626577078976,2,-9.12,-15.96,18.539999
318626597028284,2,-9.059999,-15.78,18.72
318626617018130,2,-9.059999,-15.42,18.779999
318626637041130,2,-9.059999,-15.48,18.539999
318626656944899,2,-8.639999,-15.719999,18.72
318626677087899,2,-8.88,-15.719999,18.48
318626696967361,2,-8.76,-16.08,18.539999
318626716927361,2,-8.82,-16.199999,18.72
318626736935669,2,-9.12,-15.96,18.96
318626756946361,2,-8.58,-16.199999,18.96
318626777030054,2,-8.5199995,-16.08,18.96
318626796913438,2,-8.099999,-15.96,19.199999
318626816968592,2,-7.62,-15.9,18.96
318626836962131,2,-8.04,-15.599999,19.32
318626857118977,2,-8.34,-15.599999,19.5
318626876910054,2,-8.46,-15.599999,19.32
318626896921746,2,-8.639999,-15.66,19.32
318626916943977,2,-8.46,-15.599999,19.26
318626936990977,2,-8.099999,-16.02,19.38
318626957044823,2,-8.34,-16.02,19.26
318626976924516,2,-8.28,-16.44,19.56
318626996932823,2,-8.76,-16.38,19.32
318627016926746,2,-8.76,-16.199999,19.439999
318627037097823,2,-8.58,-16.5,19.56
318627057079670,2,-8.639999,-15.839999,19.38
318627076993131,2,-7.8599997,-15.66,19.439999
318627096918054,2,-7.7999997,-15.54,19.32
318627116924900,2,-8.099999,-15.36,19.26
318627137074439,2,-8.16,-15.599999,19.02
318627156955670,2,-8.46,-16.14,19.02
318627176914747,2,-8.76,-16.14,19.14
318627196936208,2,-8.58,-16.02,18.96
318627216937516,2,-8.46,-15.839999,18.66
318627236962978,2,-8.7,-15.48,18.42
318627256949824,2,-8.639999,-15.54,18.18
318627276949747,2,-8.88,-15.9,18.119999
318627296929132,2,-9.12,-15.66,18.66
318627316940209,2,-9.12,-15.599999,18.96
318627336910670,2,-9,-15.78,18.9
318627356926978,2,-8.76,-15.599999,18.96
318627376920593,2,-8.94,-16.02,19.38
318627396967286,2,-8.94,-15.719999,19.14
318627416961517,2,-9.179999,-15.599999,19.02
318627437075286,2,-9.12,-15.839999,19.08
318627457027671,2,-9,-16.08,18.66
318627476942132,2,-8.82,-16.619999,19.199999
318627496944517,2,-8.88,-16.68,19.08
318627516930440,2,-8.639999,-16.44,19.38
318627537051594,2,-8.639999,-15.9,19.5
318627556946055,2,-8.82,-15.66,19.5
318627576896825,2,-8.46,-15.42,19.5
318627596918055,2,-9,-15.36,19.32
